종목코드,종목명,종가,대비,등락률,상장시가총액
"457190","이수스페셜티케미컬","45650","350","0.77","1379008.0"
"095340","ISC","68600","-400","-0.58","1454118.0"
"096530","씨젠","26000","500","1.96","1357876.0"
"160190","하이젠알앤엠","40550","-150","-0.37","1252508.0"
"195940","HK이노엔","46200","250","0.54","1308841.0"
"204270","제이앤티씨","21200","2050","10.70","1226387.0"
"253450","스튜디오드래곤","46200","0","0.00","1388703.0"
"293490","카카오게임즈","16420","360","2.24","1360667.0"
"328130","루닛","43350","1350","3.21","1266019.0"
"000080","하이트진로","19450","-60","-0.31","1364099.0"
"001800","오리온홀딩스","21500","250","1.18","1346877.0"
"003530","한화투자증권","6110","10","0.16","1310887.0"
"003540","대신증권","28750","0","0.00","1459735.0"
"005070","코스모신소재","41750","1750","4.38","1357324.0"
"007070","GS리테일","16660","280","1.71","1392900.0"
"011210","현대위아","52500","-600","-1.13","1427742.0"
"012630","HDC","21350","-200","-0.93","1275486.0"
"020150","롯데에너지머티리얼즈","24100","300","1.26","1262008.0"
"032350","롯데관광개발","17220","540","3.24","1369670.0"
"073240","금호타이어","4980","20","0.40","1430556.0"
"082640","동양생명","7750","210","2.79","1250529.0"
"137310","에스디바이오센서","10330","150","1.47","1257668.0"
"294870","HDC현대산업개발","20500","-150","-0.73","1351100.0"
"300720","한일시멘트","20800","-150","-0.72","1440640.0"
"353200","대덕전자","25950","300","1.17","1282369.0"
"084370","유진테크","54700","3600","7.05","1253507.0"
"018290","브이티","30400","-50","-0.16","1088259.0"
"298020","효성티앤씨","223000","-1500","-0.67","965073.0"
"067310","하나마이크론","17730","620","3.62","1175002.0"
"078600","대주전자재료","69100","700","1.02","1069709.0"
"098460","고영","15580","70","0.45","1069641.0"
"112040","위메이드","28250","250","0.89","959045.0"
"178320","서진시스템","21600","850","4.10","1214956.0"
"213420","덕산네오룩스","46350","-850","-1.80","1150925.0"
"232140","와이씨","11870","70","0.59","973878.0"
"376300","디어유","48000","800","1.69","1139443.0"
"001120","LX인터내셔널","31300","450","1.46","1213188.0"
"001430","세아베스틸지주","26700","-200","-0.74","957519.0"
"001740","SK네트웍스","4490","45","1.01","993538.0"
"003240","태광산업","927000","53000","6.06","1032122.0"
"004000","롯데정밀화학","45750","50","0.11","1180350.0"
"005300","롯데칠성","120800","1700","1.43","1120889.0"
"009240","한샘","43400","-550","-1.25","1021372.0"
"009450","경동나비엔","80100","300","0.38","1166944.0"
"089860","롯데렌탈","29800","-200","-0.67","1082020.0"
"114090","GKL","16580","-60","-0.36","1025567.0"
"120110","코오롱인더","38500","250","0.65","1059485.0"
"185750","종근당","81900","-100","-0.12","1130448.0"
"192080","더블유게임즈","55400","-800","-1.42","1190873.0"
"229640","LS에코에너지","38900","-50","-0.13","1191308.0"
"280360","롯데웰푸드","114800","2000","1.77","1068165.0"
"285130","SK케미칼","61600","1100","1.82","1062833.0"
"042000","카페24","40500","-50","-0.12","982249.0"
"031980","피에스케이홀딩스","38600","-50","-0.13","832308.0"
"298050","HS효성첨단소재","198000","-600","-0.30","887030.0"
"053800","안랩","61800","0","0.00","687618.0"
"056190","에스에프에이","25650","2300","9.85","921060.0"
"067160","SOOP","78700","200","0.25","904638.0"
"085660","차바이오텍","11450","300","2.69","875080.0"
"086900","메디톡스","123800","3000","2.48","903554.0"
"137400","피엔티","38050","-450","-1.17","903424.0"
"225570","넥슨게임즈","14330","250","1.78","943776.0"
"281740","레이크머티리얼즈","12310","350","2.93","809143.0"
"417200","LS머트리얼즈","10420","190","1.86","704941.0"
"000210","DL","39050","350","0.90","818327.0"
"000670","영풍","43450","1500","3.58","830262.0"
"001530","DI동일","37200","700","1.92","733929.0"
"001680","대상","23500","450","1.95","814229.0"
"003030","세아제강지주","174700","-2200","-1.24","723547.0"
"003620","KG모빌리티","3370","0","0.00","682003.0"
"003850","보령","8610","10","0.12","738628.0"
"004490","세방전지","63100","-100","-0.16","883400.0"
"005180","빙그레","73000","1800","2.53","697566.0"
"008730","율촌화학","32500","2500","8.33","806000.0"
"014820","동원시스템즈","29950","100","0.34","868289.0"
"039130","하나투어","52800","800","1.54","817868.0"
"069260","TKG휴켐스","17610","-50","-0.28","719872.0"
"071320","지역난방공사","81000","-200","-0.25","937878.0"
"108320","LX세미콘","53700","600","1.13","873393.0"
"248070","솔루엠","19300","1100","6.04","922853.0"
"281820","케이씨텍","35400","-150","-0.42","732437.0"
"036830","솔브레인홀딩스","42800","600","1.42","897262.0"
"033100","제룡전기","35450","-50","-0.14","569412.0"
"058970","엠로","44500","450","1.02","549443.0"
"121600","나노신소재","53500","-600","-1.11","653299.0"
"336370","솔루스첨단소재","7770","40","0.52","545589.0"
"005420","코스모화학","16440","390","2.43","631431.0"
"145720","덴티움","58500","700","1.21","647527.0"
"002710","TCC스틸","17550","380","2.21","460050.0"
"115450","HLB테라퓨틱스","3190","165","5.45","269179.0"
